"descricao","fipeid_marca","","fipeid_modelo","tipoveiculo"
ACURA,"1",INTEGRA GS 1.8,"1",0
ACURA,"1",LEGEND 3.2/3.5,"2",0
ACURA,"1",NSX 3.0,"3",0
ADLY,"60",ATV 100,"2576",1
ADLY,"60",ATV 50,"2577",1
ADLY,"60",JAGUAR JT 100,"2578",1
ADLY,"60",JAGUAR JT 50,"2579",1
ADLY,"60",RT 50,"2580",1
AGRALE,"102",10000 / 10000 S 2P (DIESEL) (E5),"5986",2
AGRALE,"102",10000 LX 2P (DIESEL) (E5),"7529",2
AGRALE,"102",13000 TURBO 2P (DIESEL),"4448",2
AGRALE,"102",13000 TURBO 3-EIXOS 2P (DIESEL),"4513",2
AGRALE,"102",14000 / 14000 S 2P (DIESEL) (E5),"5987",2
AGRALE,"102",14000 / 14000 S 6X2 2P (DIESEL) (E5),"5988",2
AGRALE,"102",14000 LX 2P (DIESEL) (E5),"7530",2
AGRALE,"102",1600 D-RD 2P (DIESEL),"3110",2
AGRALE,"102",1600 D-RS 2P (DIESEL),"3111",2
AGRALE,"102",1800 D-RD 2P (DIESEL),"3112",2
AGRALE,"102",1800 D-RS 2P (DIESEL),"3113",2
AGRALE,"102",4500 D-RD 2P (DIESEL),"3114",2
AGRALE,"102",4500 D-RS 2P (DIESEL),"3115",2
AGRALE,"102",5000 D-RD 2P (DIESEL),"3116",2
AGRALE,"102",5000 D-RS 2P (DIESEL),"3117",2
AGRALE,"102",6000 D CD RS/ RD 3P (DIESEL),"3118",2
AGRALE,"102",6000 D CS 2P (DIESEL),"3119",2
AGRALE,"102",6000 FURGOVAN 2.8 TDI RS/ RD 4P,"3120",2
AGRALE,"102",7000 D 2P (DIESEL),"3121",2
AGRALE,"102",7000 D-RD CD 4P (DIESEL),"3122",2
AGRALE,"102",7000 DX 2P (DIESEL),"3123",2
AGRALE,"102",7500 TD 2P (DIESEL),"3124",2
AGRALE,"102",7500 TDX 2P (DIESEL),"3125",2
AGRALE,"102",8000 FURGOVAN 4.3 TDI 145CV AUT 4P,"3126",2
AGRALE,"102",8000 FURGOVAN 4.3 TDI MEC 4P,"3127",2
AGRALE,"102",8500 E-TRONIC CE 2P (DIESEL),"4084",2
AGRALE,"102",8500 TURBO 2P (DIESEL),"3128",2
AGRALE,"102",8500 TURBO CD 3P (DIESEL),"4757",2
AGRALE,"102",8700 / 8700 S 2P (DIESEL) (E5),"5989",2
AGRALE,"102",8700 LX 2P (DIESEL) (E5),"7531",2
AGRALE,"102",8700 TR 2P (DIESEL) (E5),"5990",2
AGRALE,"102",9200 TURBO 2P (DIESEL),"3129",2
AGRALE,"102",A10000 2P (DIESEL) (E5),"7532",2
AGRALE,"102",A10000 2P (DIESEL) (E6),"10873",2
AGRALE,"102",A10000 4X4 2P (DIESEL) (E6),"11363",2
AGRALE,"102",A7500 2P (DIESEL)(E5),"7873",2
AGRALE,"102",A8700 2P (DIESEL) (E5),"7533",2
AGRALE,"102",A8700 2P (DIESEL) (E6),"10874",2
AGRALE,"61",CITY 50,"2581",1
AGRALE,"61",CITY 90,"2582",1
AGRALE,"61",DAKAR 30.0 190CC,"2583",1
AGRALE,"61",DAKAR 50,"2584",1
AGRALE,"61",ELEFANT 16.5 125CC,"2585",1
AGRALE,"61",ELEFANT 27.5 190CC,"2586",1
AGRALE,"61",ELEFANTRE 16.5 ES 125CC,"2587",1
AGRALE,"61",ELEFANTRE 30.0 ES 190CC,"2588",1
AGRALE,"61",FORCE 50,"2589",1
AGRALE,"61",FORCE 90,"2590",1
AGRALE,"61",JUNIOR 50,"2591",1
AGRALE,"2",MARRUÁ 2.8 12V 132CV TDI DIESEL,"4",0
AGRALE,"2",MARRUÁ AM 100 2.8 CD TDI DIESEL,"4563",0
AGRALE,"2",MARRUÁ AM 100 2.8 CS TDI DIESEL,"4564",0
AGRALE,"2",MARRUÁ AM 150 2.8 CD TDI DIESEL,"4565",0
AGRALE,"2",MARRUÁ AM 150 2.8 CS TDI DIESEL,"4566",0
AGRALE,"2",MARRUÁ AM 200 2.8 CD TDI DIESEL,"4567",0
AGRALE,"2",MARRUÁ AM 200 2.8 CS TDI DIESEL,"4568",0
AGRALE,"2",MARRUÁ AM 200 ESC. 3.8 TDI DIE.AUT. (E6),"10883",0
AGRALE,"2",MARRUÁ AM 200 ESCOLAR 2.8 TDI DIESEL,"9352",0
AGRALE,"2",MARRUÁ AM 200 ESCOLAR 3.8 TDI DIE. (E6),"10884",0
AGRALE,"2",MARRUÁ AM 200 MICROBUS 2.8 TDI DIESEL,"9353",0
AGRALE,"2",MARRUÁ AM 250 3.8 CD TDI DIE. AUT. (E6),"10864",0
AGRALE,"2",MARRUÁ AM 250 3.8 CD TDI DIESEL (E6),"10569",0
AGRALE,"2",MARRUÁ AM 250 3.8 CS TDI DIE. AUT. (E6),"10865",0
AGRALE,"2",MARRUÁ AM 250 3.8 CS TDI DIESEL (E6),"10866",0
AGRALE,"102",MARRUÁ AM 300 2.8 CS TDI DIESEL (E5),"6704",2
AGRALE,"2",MARRUÁ AM 50 2.8 140CV TDI DIESEL,"4569",0
AGRALE,"61",SST 13.5 125CC,"2592",1
AGRALE,"61",SUPER CITY 125,"2593",1
AGRALE,"61",SUPER CITY 150,"2594",1
AGRALE,"61",SXT 27.5 E 190CC,"2595",1
AGRALE,"61",SXT 27.5 EX 190CC,"2596",1
AGRALE,"61",TCHAU 50,"2597",1
ALFA ROMEO,"3",145 ELEGANT 1.7/1.8 16V,"5",0
ALFA ROMEO,"3",145 ELEGANT 2.0 16V,"6",0
ALFA ROMEO,"3",145 QUADRIFOGLIO 2.0,"7",0
ALFA ROMEO,"3",145 QV,"8",0
ALFA ROMEO,"3",147 2.0 16V 148CV 4P SEMI-AUT.,"9",0
ALFA ROMEO,"3",155,"10",0
ALFA ROMEO,"3",155 SUPER,"11",0
ALFA ROMEO,"3",156 2.5 V6 24V 190CV 4P AUT.,"12",0
ALFA ROMEO,"3",156 SPORT WAGON 2.0 16V,"13",0
ALFA ROMEO,"3",156 SPORT WAGON 2.5 V6 24V 4P AUT.,"14",0
ALFA ROMEO,"3",156 TS/SPORT/ELEGANT 2.0 16V,"15",0
ALFA ROMEO,"3",164 3.0 V6,"16",0
ALFA ROMEO,"3",164 SUPER V6 24V,"17",0
ALFA ROMEO,"3",166 3.0 V6 24V,"18",0
ALFA ROMEO,"3",2300 TI/TI-4,"19",0
ALFA ROMEO,"3",SPIDER 2.0/3.0,"20",0
AMAZONAS,"131",AME-110 MIX,"4360",1
AMAZONAS,"131",AME-150 TC/ SC,"4361",1
AMAZONAS,"131",AME-250 C1,"4362",1
AMAZONAS,"131",AME-LX 125/26,"4363",1
AM GEN,"4",HUMMER HARD-TOP 6.5 4X4 DIESEL TB,"21",0
AM GEN,"4",HUMMER OPEN-TOP 6.5 4X4 DIESEL TB,"22",0
AM GEN,"4",HUMMER WAGON 6.5 4X4 DIESEL TB,"23",0
APRILIA,"62",AREA-51 50CC,"2598",1
APRILIA,"62",CLASSIC 50CC,"2599",1
APRILIA,"62",LEONARDO 150CC,"2600",1
APRILIA,"62",MOTO 650CC,"2601",1
APRILIA,"62",PEGASO 650CC,"2602",1
APRILIA,"62",RALLY 50CC,"2603",1
APRILIA,"62",RS 250CC,"2604",1
APRILIA,"62",RS 50CC,"2605",1
APRILIA,"62",RSV MILLE 1000CC,"2606",1
APRILIA,"62",RX 50CC,"2607",1
APRILIA,"62",SCARABEO BRIGTH 50CC,"2608",1
APRILIA,"62",SCARABEO CLASSIC 50CC,"2609",1
APRILIA,"62",SCARABEO DELUXE 50CC,"2610",1
APRILIA,"62",SONIC 50CC,"2611",1
APRILIA,"62",SR 150CC,"8303",1
APRILIA,"62",SR RACE 150CC,"8304",1
APRILIA,"62",SR RACING 50CC,"2612",1
APRILIA,"62",SR WWW 50CC,"2613",1
APRILIA,"62",SXR 160CC,"10130",1
ASIA MOTORS,"5",AM-825 LUXO 4.0 DIESEL,"24",0
ASIA MOTORS,"5",AM-825 SUPER LUXO 4.0 DIESEL,"25",0
ASIA MOTORS,"5",HI-TOPIC SLX/SDX/DLX FULL DIESEL,"26",0
ASIA MOTORS,"5",HI-TOPIC STD DIESEL,"27",0
ASIA MOTORS,"5",HI-TOPIC VAN 2.7 DIESEL (FURGÃO),"28",0
ASIA MOTORS,"5",JIPE ROCSTA GT 4X4 2.2 DIESEL,"29",0
ASIA MOTORS,"5",TOPIC CARGA 2.7 DIESEL (FURGÃO),"30",0
ASIA MOTORS,"5",TOPIC LUXO DIESEL,"31",0
ASIA MOTORS,"5",TOPIC SUPER LUXO DIESEL,"32",0
ASIA MOTORS,"5",TOWNER COACH FULL,"33",0
ASIA MOTORS,"5",TOWNER FURGÃO,"34",0
ASIA MOTORS,"5",TOWNER GLASS VAN,"35",0
ASIA MOTORS,"5",TOWNER LUXO,"36",0
ASIA MOTORS,"5",TOWNER MULTIUSO 5P,"37",0
ASIA MOTORS,"5",TOWNER PANEL VAN,"38",0
ASIA MOTORS,"5",TOWNER PICK-UP,"39",0
ASIA MOTORS,"5",TOWNER SDX / DLX/ STD,"40",0
ASIA MOTORS,"5",TOWNER SUPER LUXO,"41",0
ASIA MOTORS,"5",TOWNER TRUCK,"42",0
